4, 1, 3, 3 
4, 1, 3, 3 
4, 5, 1, 1 
4, 1, 3, 3 
4, 2, 2, 2 
4, 0, 4, 4 
4, 2, 2, 2 
4, 3, 1, 1 
4, 0, 4, 4 
4, 4, 1, 1 
5, 8, 1, 1 
5, 7, 1, 1 
5, 7, 1, 1 
5, 2, 3, 3 
5, 5, 1, 1 
5, 0, 5, 5 
5, 1, 4, 4 
5, 4, 2, 3 
5, 10, 1, 1 
5, 4, 1, 1 
6, 2, 4, 4 
6, 11, 1, 1 
6, 11, 1, 1 
6, 1, 5, 5 
6, 2, 4, 4 
6, 14, 1, 1 
6, 13, 1, 1 
6, 0, 6, 6 
6, 3, 4, 4 
6, 15, 1, 1 
7, 12, 1, 1 
7, 10, 2, 2 
7, 4, 3, 3 
7, 6, 3, 3 
7, 10, 2, 2 
7, 9, 2, 2 
7, 13, 2, 2 
7, 17, 1, 1 
7, 13, 1, 1 
7, 21, 1, 1 
8, 7, 4, 4 
8, 25, 1, 1 
8, 6, 3, 3 
8, 10, 3, 3 
8, 9, 3, 4 
8, 24, 1, 1 
8, 25, 1, 1 
8, 24, 1, 1 
8, 8, 3, 3 
8, 8, 3, 3 
9, 10, 4, 4 
9, 5, 6, 6 
9, 17, 2, 3 
9, 22, 2, 2 
9, 1, 8, 8 
9, 8, 4, 4 
9, 10, 4, 4 
9, 10, 4, 4 
9, 24, 2, 2 
9, 6, 4, 4 
10, 40, 1, 1 
10, 1, 9, 9 
10, 43, 1, 1 
10, 26, 1, 1 
10, 4, 7, 7 
10, 18, 4, 4 
10, 35, 1, 1 
10, 11, 3, 3 
10, 11, 4, 4 
10, 7, 5, 5 
11, 20, 3, 4 
11, 16, 4, 4 
11, 49, 1, 1 
11, 44, 1, 1 
11, 41, 1, 1 
11, 44, 1, 1 
11, 16, 3, 4 
11, 1, 10, 10 
11, 14, 4, 4 
11, 10, 5, 5 
12, 51, 1, 1 
12, 53, 1, 1 
12, 12, 4, 4 
12, 64, 1, 1 
12, 17, 4, 4 
12, 34, 2, 2 
12, 9, 6, 6 
12, 53, 1, 1 
12, 4, 8, 8 
12, 7, 7, 7 
13, 51, 2, 2 
13, 55, 2, 2 
13, 32, 3, 3 
13, 55, 2, 2 
13, 72, 1, 1 
13, 3, 11, 11 
13, 21, 4, 4 
13, 29, 3, 4 
13, 35, 4, 5 
13, 59, 1, 1 
14, 35, 3, 4 
14, 20, 5, 5 
14, 87, 1, 1 
14, 73, 1, 1 
14, 34, 3, 3 
14, 57, 2, 2 
14, 24, 4, 5 
14, 25, 4, 5 
14, 51, 2, 2 
14, 30, 4, 4 
15, 55, 2, 2 
15, 32, 4, 4 
15, 105, 1, 1 
15, 31, 3, 3 
15, 2, 13, 13 
15, 28, 5, 6 
15, 74, 2, 2 
15, 50, 3, 3 
15, 73, 2, 3 
15, 13, 6, 8 
