5,2,2
6,2,2
7,3,3
8,3,3
9,3,3
10,4,4
11,5,4
12,4,4
13,5,5
14,5,5
15,6,5
16,7,6
17,7,6
18,7,6
19,7,7
20,8,7
21,8,7
22,9,8
23,9,8
24,10,8
25,10,9
26,11,9
27,10,9
28,11,10
29,11,10
30,13,10
31,13,11
32,13,11
33,13,11
34,13,12
35,13,12
36,13,12
37,16,13
38,16,13
39,16,13
40,16,14
41,16,14
42,18,14
43,17,15
44,17,15
45,17,15
46,17,16
47,19,16
48,20,16
49,19,17
50,20,17
51,20,17
52,20,18
53,21,18
54,23,18
55,22,19
56,23,19
57,22,19
58,23,20
59,25,20
60,23,20
61,24,21
62,26,21
63,27,21
64,27,22
65,27,22
66,25,22
67,29,23
68,27,23
69,28,23
70,28,24
71,28,24
72,29,24
73,32,25
74,28,25
75,31,25
76,31,26
77,32,26
78,31,26
79,31,27
80,31,27
81,34,27
82,33,28
83,34,28
84,37,28
85,35,29
86,34,29
87,34,29
88,34,30
89,35,30
90,37,30
91,38,31
92,36,31
93,37,31
94,38,32
95,37,32
96,36,32
97,39,33
98,44,33
99,39,33
100,40,34
