511, 13 
385, 12 
521, 17 
453, 14 
371, 13 
950, 24 
817, 23 
853, 23 
607, 18 
631, 18 
468, 16 
648, 17 
708, 20 
416, 13 
112, 6 
689, 19 
753, 20 
358, 12 
758, 21 
186, 8 
180, 7 
368, 13 
400, 11 
573, 17 
479, 16 
328, 9 
404, 13 
822, 23 
536, 15 
189, 7 
332, 10 
230, 8 
236, 9 
359, 11 
939, 24 
672, 18 
388, 13 
489, 14 
746, 21 
738, 20 
416, 12 
219, 7 
869, 23 
378, 14 
632, 19 
662, 20 
719, 20 
209, 8 
572, 16 
1012, 25 
597, 17 
298, 11 
303, 10 
710, 19 
400, 13 
234, 8 
714, 19 
753, 21 
625, 17 
610, 16 
985, 25 
263, 8 
330, 11 
326, 11 
578, 17 
284, 7 
979, 25 
742, 21 
162, 6 
660, 20 
862, 23 
980, 24 
179, 6 
409, 12 
760, 21 
640, 18 
270, 8 
843, 24 
716, 20 
912, 24 
557, 16 
286, 8 
572, 17 
610, 18 
721, 20 
714, 20 
465, 14 
543, 16 
380, 12 
710, 20 
771, 22 
355, 12 
335, 11 
197, 8 
1010, 25 
578, 17 
834, 23 
726, 20 
933, 24 
318, 10 
569, 17 
207, 7 
883, 23 
286, 10 
566, 16 
894, 23 
496, 16 
312, 11 
468, 14 
667, 19 
691, 19 
537, 16 
932, 24 
213, 9 
845, 24 
475, 14 
667, 18 
235, 9 
564, 15 
364, 12 
727, 19 
745, 20 
842, 23 
460, 14 
386, 15 
813, 21 
712, 20 
963, 24 
831, 24 
926, 24 
688, 20 
734, 20 
611, 17 
909, 25 
383, 12 
201, 6 
378, 12 
613, 18 
935, 24 
774, 21 
546, 17 
730, 20 
540, 16 
814, 23 
559, 17 
292, 10 
186, 6 
795, 22 
798, 21 
620, 18 
204, 7 
725, 20 
215, 9 
270, 10 
827, 23 
500, 14 
962, 24 
388, 11 
925, 25 
850, 22 
634, 18 
955, 24 
214, 9 
341, 11 
490, 16 
608, 17 
167, 6 
259, 9 
566, 17 
771, 21 
624, 19 
648, 17 
703, 19 
338, 12 
230, 9 
244, 9 
825, 22 
883, 24 
644, 18 
475, 14 
441, 14 
500, 16 
560, 17 
642, 18 
541, 13 
177, 8 
262, 10 
993, 25 
850, 23 
681, 18 
322, 11 
586, 16 
245, 9 
1004, 25 
783, 22 
530, 15 
913, 24 
427, 13 
609, 18 
773, 22 
286, 10 
474, 13 
107, 6 
867, 23 
423, 12 
754, 20 
196, 7 
266, 9 
179, 7 
843, 24 
850, 22 
640, 19 
748, 21 
868, 24 
728, 21 
552, 17 
559, 16 
359, 9 
234, 9 
393, 13 
216, 8 
278, 10 
383, 11 
339, 10 
819, 21 
214, 9 
892, 25 
411, 12 
452, 15 
797, 23 
370, 10 
804, 22 
366, 11 
408, 14 
239, 8 
640, 18 
387, 12 
182, 7 
543, 16 
182, 6 
252, 10 
150, 7 
939, 24 
202, 8 
629, 18 
396, 13 
402, 13 
337, 12 
466, 14 
470, 14 
599, 19 
837, 23 
314, 10 
665, 18 
572, 17 
246, 8 
722, 20 
202, 7 
349, 11 
930, 24 
281, 8 
248, 10 
855, 23 
465, 13 
979, 25 
946, 23 
