5, 2 
6, 2 
7, 3 
8, 3 
9, 3 
10, 4 
11, 5 
12, 4 
13, 5 
14, 5 
15, 6 
16, 7 
17, 7 
18, 7 
19, 7 
20, 8 
21, 8 
22, 9 
23, 9 
24, 10 
25, 10 
26, 11 
27, 10 
28, 11 
29, 11 
30, 13 
31, 13 
32, 13 
33, 13 
34, 13 
35, 13 
36, 13 
37, 16 
38, 16 
39, 16 
40, 16 
41, 16 
42, 18 
43, 17 
44, 17 
45, 17 
46, 17 
47, 19 
48, 20 
49, 19 
50, 20 
51, 20 
52, 20 
53, 21 
54, 23 
55, 22 
56, 23 
57, 22 
58, 23 
59, 25 
60, 23 
61, 24 
62, 26 
63, 27 
64, 27 
65, 27 
66, 25 
67, 29 
68, 27 
69, 28 
70, 28 
71, 28 
72, 29 
73, 32 
74, 28 
75, 31 
76, 31 
77, 32 
78, 31 
79, 31 
80, 31 
81, 34 
82, 33 
83, 34 
84, 37 
85, 35 
86, 34 
87, 34 
88, 34 
89, 35 
90, 37 
91, 38 
92, 36 
93, 37 
94, 38 
95, 37 
96, 36 
97, 39 
98, 44 
99, 39 
100, 40 
