2, 5.650000, 7.900000, 13.550000, 19.000000, 21.200000, 1 
4, 32.250000, 42.350000, 74.350000, 96.200000, 113.450000, 2 
6, 145.100000, 177.900000, 322.300000, 390.000000, 474.100000, 3 
8, 562.250000, 649.650000, 1242.600000, 1419.300000, 1750.600000, 4 
10, 2088.450000, 2304.950000, 4354.150000, 4787.250000, 5999.050000, 5 
12, 7389.900000, 7900.450000, 15246.750000, 16280.850000, 20651.900000, 6 
14, 25775.700000, 26969.850000, 52711.650000, 55137.150000, 70409.150000, 7 
16, 163570.050000, 166314.850000, 252451.550000, 257922.050000, 345434.550000, 8 
18, 401745.700000, 407682.850000, 832842.600000, 865552.250000, 1063905.450000, 9 
20, 1386022.100000, 1399243.050000, 2827023.100000, 2853346.800000, 3686925.750000, 10 
