2, 5.500000, 7.750000, 13.250000, 19.350000, 21.600000, 1 
4, 32.300000, 42.600000, 74.850000, 97.000000, 114.550000, 2 
6, 147.800000, 185.050000, 332.450000, 404.550000, 493.150000, 3 
8, 592.050000, 690.200000, 1301.850000, 1520.250000, 1813.000000, 4 
10, 2288.150000, 2463.900000, 4696.400000, 5333.650000, 6386.300000, 5 
12, 8009.950000, 8694.900000, 16694.600000, 18185.200000, 22570.200000, 6 
14, 28622.400000, 29675.900000, 58219.800000, 62292.300000, 73752.650000, 7 
16, 196066.250000, 197665.150000, 296762.350000, 307889.250000, 432614.550000, 8 
18, 422738.300000, 431769.950000, 913606.900000, 931652.500000, 1136010.050000, 9 
20, 1587902.250000, 1629021.300000, 3238801.600000, 3322209.750000, 3987176.850000, 10 
