3, 35.000000, 46.000000, 79.350000, 89.450000, 113.350000, 3 
4, 80.250000, 94.600000, 137.850000, 143.300000, 164.050000, 4 
5, 70.700000, 78.950000, 157.300000, 164.350000, 222.300000, 5 
6, 180.550000, 190.300000, 350.450000, 360.100000, 476.400000, 6 
7, 359.950000, 372.100000, 724.350000, 736.650000, 991.950000, 7 
8, 781.750000, 797.250000, 1580.600000, 1595.500000, 2155.250000, 8 
9, 1688.000000, 1705.700000, 3378.600000, 3396.350000, 4629.200000, 9 
10, 3704.500000, 3725.650000, 7440.600000, 7461.800000, 10169.250000, 10 
11, 8158.150000, 8182.800000, 16162.650000, 16187.650000, 22057.100000, 11 
12, 17103.450000, 17132.200000, 34256.500000, 34285.450000, 46931.250000, 12 
13, 34885.900000, 34917.850000, 69607.100000, 69639.300000, 95313.300000, 13 
14, 75395.100000, 75430.850000, 150986.900000, 151023.200000, 206078.500000, 14 
15, 157133.900000, 157174.350000, 314102.250000, 314143.400000, 430761.000000, 15 
16, 335193.100000, 335239.050000, 746804.400000, 746850.850000, 1072898.500000, 16 
17, 943677.100000, 943728.250000, 1970369.150000, 1970419.850000, 2651642.800000, 17 
18, 2113285.650000, 2113340.950000, 4122645.150000, 4122700.650000, 5739447.350000, 18 
19, 4569505.150000, 4569567.000000, 9238100.550000, 9238163.250000, 12648913.550000, 19 
20, 16007924.400000, 16008112.300000, 32799873.200000, 32799941.200000, 38790766.550000, 20 
