10, 2271.562500, 2758.625000, 10649.218750, 12477.125000 
11, 6023.125000, 6570.087500, 28870.568750, 31338.962500 
12, 7325.068750, 7146.600000, 36432.100000, 35247.075000 
13, 12750.937500, 13740.531250, 60720.150000, 64271.637500 
14, 11722.681250, 14241.156250, 58959.231250, 70186.381250 
15, 17634.537500, 18072.837500, 84410.918750, 85915.568750 
16, 18783.131250, 20535.112500, 95932.743750, 102539.287500 
17, 38420.575000, 40961.068750, 199596.050000, 204734.781250 
18, 47049.812500, 52047.750000, 232116.375000, 255861.943750 
19, 76936.784722, 83100.104167, 345960.583333, 355058.208333 
20, 49748.143750, 52474.106250, 248367.950000, 264938.868750 
21, 43900.643750, 50791.481250, 213375.875000, 239044.475000 
22, 57491.069444, 72189.277778, 283634.500000, 326028.562500 
23, 92244.236111, 98924.131944, 441412.090278, 473993.840278 
24, 65490.737500, 63603.906250, 312799.537500, 310212.550000 
25, 149777.416667, 155249.493056, 709364.895833, 732861.194444 
26, 248359.093750, 282036.168750, 1149376.231250, 1300338.787500 
27, 323028.298611, 345615.138889, 1524124.458333, 1571537.729167 
28, 292483.693750, 315879.481250, 1367084.893750, 1416422.325000 
29, 308649.694444, 341848.819444, 1485585.750000, 1636439.423611 
30, 565408.340278, 624052.354167, 2972282.361111, 3034579.708333 
