10, 4093.812500, 4, 4094.250000, 4, 20624.000000, 4, 20321.312500, 4, 
11, 6804.125000, 4, 6908.250000, 4, 34247.687500, 4, 34119.375000, 4, 
12, 11018.437500, 4, 10775.687500, 4, 51275.312500, 4, 50992.812500, 4, 
13, 13054.187500, 5, 12930.812500, 5, 64760.562500, 5, 64596.250000, 5, 
14, 22446.312500, 5, 22530.750000, 5, 111211.437500, 5, 112065.125000, 5, 
15, 33160.312500, 5, 34284.375000, 5, 154558.312500, 5, 155778.062500, 5, 
16, 34722.562500, 6, 34887.375000, 6, 173386.562500, 6, 173434.437500, 6, 
17, 55920.687500, 6, 58532.000000, 6, 278062.000000, 6, 284796.937500, 6, 
18, 74922.500000, 6, 77904.250000, 6, 347111.937500, 6, 343083.312500, 6, 
19, 77362.187500, 7, 76600.750000, 7, 385632.625000, 7, 386521.062500, 7, 
20, 113320.625000, 7, 115928.312500, 7, 575861.187500, 7, 591060.687500, 7, 
21, 176488.812500, 7, 169951.375000, 7, 666116.125000, 7, 662658.187500, 7, 
22, 162635.500000, 8, 161605.062500, 8, 786536.312500, 8, 790541.062500, 8, 
23, 233630.625000, 8, 228303.500000, 8, 1088639.750000, 8, 1111230.125000, 8, 
24, 308857.562500, 8, 279053.875000, 8, 1169372.500000, 8, 1399094.750000, 8, 
25, 283696.750000, 9, 292268.625000, 9, 1480019.562500, 9, 1447801.437500, 9, 
26, 421040.812500, 9, 422365.062500, 9, 1986278.937500, 9, 1969948.375000, 9, 
27, 478105.125000, 9, 511423.687500, 9, 2197835.312500, 9, 2096813.687500, 9, 
28, 486362.437500, 10, 488605.250000, 10, 2619479.250000, 10, 2397184.625000, 10, 
29, 636597.937500, 10, 647637.562500, 10, 3268050.937500, 10, 3119175.500000, 10, 
30, 900522.500000, 10, 843143.812500, 10, 3309184.875000, 10, 3656127.437500, 10, 
