4, 5, 1, 1, 1, 1, 1, 
4, 0, 4, 4, 4, 4, 4, 
4, 3, 2, 2, 2, 2, 2, 
4, 4, 1, 1, 1, 1, 1, 
4, 1, 3, 3, 3, 3, 3, 
4, 1, 3, 3, 3, 3, 3, 
4, 3, 2, 2, 2, 2, 2, 
4, 3, 2, 2, 2, 2, 2, 
4, 4, 2, 2, 2, 2, 2, 
4, 6, 1, 1, 1, 1, 1, 
5, 6, 2, 2, 2, 2, 2, 
5, 7, 1, 1, 1, 1, 1, 
5, 3, 3, 3, 3, 3, 3, 
5, 4, 2, 2, 2, 2, 2, 
5, 2, 3, 3, 3, 3, 3, 
5, 4, 2, 2, 2, 2, 2, 
5, 0, 5, 5, 5, 5, 5, 
5, 8, 1, 1, 1, 1, 1, 
5, 7, 1, 1, 1, 1, 1, 
5, 5, 2, 2, 2, 2, 2, 
6, 0, 6, 6, 6, 6, 6, 
6, 15, 1, 1, 1, 1, 1, 
6, 8, 1, 1, 1, 1, 1, 
6, 1, 5, 5, 5, 5, 5, 
6, 13, 1, 1, 1, 1, 1, 
6, 10, 1, 1, 1, 1, 1, 
6, 11, 1, 1, 1, 1, 1, 
6, 1, 5, 5, 5, 5, 5, 
6, 5, 3, 3, 3, 3, 3, 
6, 3, 4, 4, 4, 4, 4, 
7, 17, 1, 1, 1, 1, 1, 
7, 15, 1, 1, 1, 1, 1, 
7, 14, 2, 2, 2, 2, 2, 
7, 18, 1, 1, 1, 1, 1, 
7, 5, 3, 3, 3, 3, 3, 
7, 4, 4, 4, 4, 4, 4, 
7, 21, 1, 1, 1, 1, 1, 
7, 15, 2, 2, 2, 2, 2, 
7, 14, 1, 1, 1, 1, 1, 
7, 20, 1, 1, 1, 1, 1, 
8, 9, 3, 3, 3, 3, 3, 
8, 19, 1, 1, 1, 1, 1, 
8, 7, 4, 4, 4, 4, 4, 
8, 14, 1, 1, 1, 1, 1, 
8, 8, 3, 3, 3, 3, 3, 
8, 24, 1, 1, 1, 1, 1, 
8, 28, 1, 1, 1, 1, 1, 
8, 1, 7, 7, 7, 7, 7, 
8, 8, 4, 4, 4, 4, 4, 
8, 25, 1, 1, 1, 1, 1, 
9, 27, 1, 1, 1, 1, 1, 
9, 36, 1, 1, 1, 1, 1, 
9, 35, 1, 1, 1, 1, 1, 
9, 4, 6, 6, 6, 6, 6, 
9, 8, 4, 4, 4, 4, 4, 
9, 25, 1, 2, 1, 1, 1, 
9, 2, 7, 7, 7, 7, 7, 
9, 21, 2, 2, 2, 2, 2, 
9, 22, 1, 1, 1, 1, 1, 
9, 26, 2, 2, 2, 2, 2, 
10, 33, 2, 2, 2, 2, 2, 
10, 36, 1, 1, 1, 1, 1, 
10, 40, 1, 1, 1, 1, 1, 
10, 23, 2, 2, 2, 2, 2, 
10, 32, 2, 2, 2, 2, 2, 
10, 2, 8, 8, 8, 8, 8, 
10, 39, 1, 1, 1, 1, 1, 
10, 41, 1, 1, 1, 1, 1, 
10, 33, 1, 1, 1, 1, 1, 
10, 32, 1, 1, 1, 1, 1, 
11, 41, 1, 1, 1, 1, 1, 
11, 5, 6, 6, 6, 6, 6, 
11, 23, 3, 3, 3, 3, 3, 
11, 15, 4, 4, 4, 4, 4, 
11, 29, 3, 3, 3, 3, 3, 
11, 37, 1, 1, 1, 1, 1, 
11, 16, 4, 4, 4, 4, 4, 
11, 40, 2, 2, 2, 2, 2, 
11, 46, 1, 1, 1, 1, 1, 
11, 30, 2, 2, 2, 2, 2, 
12, 56, 1, 1, 1, 1, 1, 
12, 21, 3, 3, 3, 3, 3, 
12, 0, 12, 12, 12, 12, 12, 
12, 37, 2, 2, 2, 2, 2, 
12, 54, 1, 1, 1, 1, 1, 
12, 47, 2, 2, 2, 2, 2, 
12, 27, 2, 2, 2, 2, 2, 
12, 31, 3, 3, 3, 3, 3, 
12, 44, 1, 1, 1, 1, 1, 
12, 17, 4, 4, 4, 4, 4, 
13, 77, 1, 1, 1, 1, 1, 
13, 29, 3, 3, 3, 3, 3, 
13, 14, 5, 5, 5, 5, 5, 
13, 66, 1, 1, 1, 1, 1, 
13, 76, 1, 1, 1, 1, 1, 
13, 33, 3, 3, 3, 3, 3, 
13, 55, 1, 1, 1, 1, 1, 
13, 41, 2, 2, 2, 2, 2, 
13, 23, 3, 3, 3, 3, 3, 
13, 19, 5, 5, 5, 5, 5, 
14, 69, 1, 1, 1, 1, 1, 
14, 87, 1, 1, 1, 1, 1, 
14, 82, 1, 1, 1, 1, 1, 
14, 52, 2, 2, 2, 2, 2, 
14, 34, 3, 3, 3, 3, 3, 
14, 35, 3, 3, 3, 3, 3, 
14, 23, 5, 5, 5, 5, 5, 
14, 65, 1, 2, 2, 1, 1, 
14, 56, 2, 2, 2, 2, 2, 
14, 80, 1, 1, 1, 1, 1, 
15, 33, 4, 4, 4, 4, 4, 
15, 24, 5, 5, 5, 5, 5, 
15, 51, 2, 2, 2, 2, 2, 
15, 93, 1, 1, 1, 1, 1, 
15, 25, 4, 4, 4, 4, 4, 
15, 66, 2, 2, 2, 2, 2, 
15, 33, 4, 4, 4, 4, 4, 
15, 20, 5, 5, 5, 5, 5, 
15, 54, 2, 2, 2, 2, 2, 
15, 28, 4, 4, 4, 4, 4, 
