21, 21, 0, 17.312500, 16, 202.500000, 5, 93847.437500, 5, 
21, 21, 0, 17.000000, 16, 202.312500, 5, 89920.687500, 5, 
21, 21, 0, 17.375000, 16, 200.750000, 5, 95718.062500, 5, 
21, 21, 0, 17.000000, 16, 202.437500, 5, 94589.437500, 5, 
21, 21, 0, 17.437500, 16, 201.562500, 5, 94144.875000, 5, 
21, 21, 0, 17.187500, 16, 202.062500, 5, 93749.437500, 5, 
21, 21, 0, 17.375000, 16, 201.750000, 5, 94120.250000, 5, 
21, 21, 0, 17.937500, 16, 203.375000, 5, 94073.062500, 5, 
21, 21, 0, 17.187500, 16, 201.750000, 5, 94448.812500, 5, 
21, 21, 0, 17.125000, 16, 202.750000, 5, 93479.125000, 5, 
26, 26, 0, 22.312500, 20, 286.125000, 6, 300545.312500, 6, 
28, 28, 0, 23.937500, 22, 309.375000, 6, 345253.250000, 6, 
27, 27, 0, 23.000000, 21, 295.437500, 6, 317321.625000, 6, 
28, 28, 0, 24.250000, 22, 306.500000, 6, 344801.187500, 6, 
25, 25, 0, 21.250000, 19, 276.562500, 6, 272252.375000, 19, 
28, 28, 0, 24.062500, 22, 307.187500, 6, 351270.937500, 6, 
31, 31, 0, 27.125000, 25, 341.312500, 6, 478287.125000, 6, 
29, 29, 0, 25.000000, 23, 320.625000, 6, 387955.812500, 6, 
28, 28, 0, 24.125000, 22, 307.375000, 6, 357853.937500, 6, 
27, 27, 0, 23.125000, 21, 297.125000, 6, 323793.750000, 6, 
34, 34, 0, 30.375000, 27, 422.000000, 7, 938154.187500, 7, 
36, 36, 0, 32.750000, 29, 446.500000, 7, 1121270.312500, 7, 
34, 34, 0, 30.062500, 27, 420.937500, 7, 934461.937500, 7, 
37, 37, 0, 33.562500, 30, 456.812500, 7, 1167457.750000, 7, 
34, 34, 0, 30.500000, 27, 421.062500, 7, 942818.500000, 7, 
35, 35, 0, 31.250000, 28, 433.500000, 7, 955658.812500, 7, 
38, 38, 0, 34.875000, 31, 469.500000, 7, 1215947.687500, 7, 
36, 36, 0, 32.625000, 29, 444.812500, 7, 1033742.062500, 7, 
36, 36, 0, 32.062500, 29, 445.312500, 7, 1081738.562500, 7, 
33, 33, 0, 29.562500, 26, 408.250000, 7, 815414.500000, 7, 
46, 46, 0, 46.312500, 38, 698.250000, 8, 3093845.625000, 8, 
39, 39, 0, 35.437500, 31, 541.750000, 8, 1759649.312500, 8, 
46, 46, 0, 46.187500, 38, 696.125000, 8, 3222895.250000, 8, 
42, 42, 0, 40.937500, 34, 634.187500, 8, 2830251.937500, 34, 
45, 45, 0, 44.937500, 37, 677.875000, 8, 3003812.812500, 8, 
44, 44, 0, 43.500000, 36, 664.250000, 8, 2792051.375000, 8, 
49, 49, 0, 50.062500, 41, 726.312500, 8, 3835005.062500, 8, 
43, 43, 0, 42.187500, 35, 648.750000, 8, 2566256.000000, 8, 
46, 46, 0, 46.250000, 38, 696.687500, 8, 3197089.937500, 8, 
42, 42, 0, 40.875000, 34, 630.187500, 8, 2422298.625000, 8, 
50, 50, 0, 51.187500, 41, 834.312500, 9, 5901137.625000, 41, 
57, 57, 0, 61.062500, 48, 943.000000, 9, 8026177.437500, 9, 
57, 57, 0, 60.937500, 48, 942.625000, 9, 7880589.187500, 9, 
53, 53, 0, 55.250000, 44, 875.250000, 9, 6097998.062500, 9, 
48, 48, 0, 48.375000, 39, 789.437500, 9, 4392551.187500, 9, 
55, 55, 0, 57.937500, 46, 912.875000, 9, 7476926.562500, 9, 
59, 59, 0, 63.250000, 50, 970.687500, 9, 9248656.250000, 9, 
60, 60, 0, 64.562500, 51, 988.000000, 9, 9250562.375000, 9, 
59, 59, 0, 63.312500, 50, 971.250000, 9, 8811770.375000, 9, 
55, 55, 0, 58.125000, 46, 914.437500, 9, 6115858.000000, 9, 
68, 68, 0, 76.500000, 58, 1231.562500, 10, 19397378.000000, 10, 
64, 64, 0, 70.500000, 54, 1160.750000, 10, 14555336.625000, 10, 
67, 67, 0, 75.937500, 57, 1213.312500, 10, 13827257.687500, 10, 
64, 64, 0, 70.375000, 54, 1158.687500, 10, 12603378.625000, 10, 
64, 64, 0, 70.250000, 54, 1161.750000, 10, 14416581.437500, 10, 
66, 66, 0, 73.687500, 56, 1187.562500, 10, 15530345.437500, 10, 
71, 71, 0, 81.500000, 61, 1282.687500, 10, 17827381.312500, 10, 
68, 68, 0, 76.687500, 58, 1230.812500, 10, 15175026.125000, 10, 
67, 67, 0, 75.375000, 57, 1214.312500, 10, 21177574.062500, 57, 
73, 73, 0, 84.250000, 63, 1310.000000, 10, 21520877.187500, 10, 
