37,23.5,81,618724.9375, 
38,24,82.5,681323.0625, 
41,26.125,89.375,873066, 
43,28.9583333333333,99.2291666666667,1114838.22916667, 
47,38.0625,127.5625,1460344.53125, 
48,32.0625,109.25,1557352, 
51,34.25,116.125,2500253.75, 
52,35,118.8125,2679197.6875, 
58,38.6875,131.125,3821857.4375, 
59,39.4375,133.625,4046759.875, 
60,39.9375,135.25,4281757.4375, 
63,41.9375,141.5,5106653.6875, 
68,45.625,153.9375,6411379.0625, 
76,50.6875,170.375,11749924.75, 
77,50.9375,172.53125,10598647.28125, 
79,52.84375,178.375,12920962.09375, 
81,54.0625,182.1875,14564440.0625, 
83,55.0625,185.125,15211342.3125, 
87,58.125,195.71875,17521963.84375, 
90,60.25,202.625,19557569.59375, 
